No,Food Name,Calorie,Carbohidrat,Fat,Protein,Price,link foto,how to cook,
1,Mie aceh rebus,113,3,3,18,"15,000",https://resepkoki.id/wp-content/uploads/2021/03/Resep-Mie-Aceh.jpg,"Bahan-bahan:

- 100 gram mie Aceh (bisa diganti dengan mie telur)
- 150 ml air
- 1 sendok makan minyak sayur
- 100 gram daging sapi, iris tipis
- 50 gram tauge (kecambah)
- 2 buah cabai merah, iris tipis
- 2 siung bawang putih, cincang halus
- 1 sendok teh bubuk cabe (opsional, sesuai selera)
- 1 sendok makan kecap manis
- 1/2 sendok teh garam
- 1/4 sendok teh merica bubuk
- 1 batang daun bawang, iris tipis
- 1 batang seledri, iris tipis
- 1 butir telur, rebus dan iris menjadi dua bagian

Langkah-langkah:

1. Rebus mie Aceh sesuai petunjuk kemasan. Setelah matang, tiriskan dan sisihkan.

2. Panaskan minyak sayur dalam wajan. Tumis bawang putih dan cabai merah hingga harum.

3. Masukkan daging sapi iris tipis ke dalam wajan. Tumis hingga daging sapi matang dan berubah warna.

4. Tambahkan tauge ke dalam wajan. Aduk rata.

5. Masukkan bubuk cabe (jika menggunakan) ke dalam wajan. Aduk rata.

6. Tuangkan air ke dalam wajan. Tambahkan kecap manis, garam, dan merica bubuk. Aduk rata dan biarkan kuah mendidih.

7. Masukkan mie Aceh yang telah direbus ke dalam wajan. Aduk rata hingga mie terendam dalam kuah.

8. Tambahkan irisan daun bawang dan seledri ke dalam wajan. Aduk rata.

9. Masak mie Aceh dalam kuah selama beberapa menit hingga matang dan bumbu meresap.

10. Angkat mie Aceh dan tuangkan dalam mangkuk saji.

11. Hiasi mie Aceh dengan irisan telur rebus.

12. Mie Aceh Rebus siap disajikan. Nikmati panas-panas sebagai hidangan utama.

Selamat mencoba!
",Mie aceh rebus
2,Mie ayam,102,6,4,11,"10,000",https://static.uc.ac.id/fikom/2022/12/Pic-1.jpg,"Bahan-bahan:

- 100 gram mie ayam kering
- 150 ml air
- 1 sendok makan minyak sayur
- 100 gram daging ayam, rebus dan suwir-suwir
- 50 gram sawi hijau, potong-potong
- 2 siung bawang putih, cincang halus
- 1 sendok teh minyak wijen
- 1/2 sendok teh garam
- 1/4 sendok teh merica bubuk
- 1 sendok teh kecap manis
- 1 batang daun bawang, iris tipis
- 1 batang seledri, iris tipis
- 1 butir telur, rebus dan iris menjadi dua bagian

Langkah-langkah:

1. Rebus mie ayam kering sesuai petunjuk kemasan. Setelah matang, tiriskan dan sisihkan.

2. Panaskan minyak sayur dalam wajan. Tumis bawang putih hingga harum.

3. Masukkan daging ayam yang sudah direbus dan suwir-suwir ke dalam wajan. Aduk rata.

4. Tambahkan sawi hijau ke dalam wajan. Aduk rata hingga sawi hijau layu.

5. Tuangkan air ke dalam wajan. Tambahkan minyak wijen, garam, merica bubuk, dan kecap manis. Aduk rata dan biarkan kuah mendidih.

6. Masukkan mie ayam yang telah direbus ke dalam wajan. Aduk rata hingga mie terendam dalam kuah.

7. Tambahkan irisan daun bawang dan seledri ke dalam wajan. Aduk rata.

8. Masak mie ayam dalam kuah selama beberapa menit hingga matang dan bumbu meresap.

9. Angkat mie ayam dan tuangkan dalam mangkuk saji.

10. Hiasi mie ayam dengan irisan telur rebus.

11. Mie Ayam siap disajikan. Nikmati panas-panas sebagai hidangan utama.

Selamat mencoba!
",Mie ayam
3,Mie bakso,114,5,3,16,"12,000",https://www.masakapahariini.com/wp-content/uploads/2019/11/resep-mie-bakso.jpg,"Bahan-bahan:

- 100 gram mie telur
- 150 ml air
- 1 sendok makan minyak sayur
- 3 butir bakso sapi, iris menjadi beberapa bagian
- 50 gram sawi hijau, potong-potong
- 2 siung bawang putih, cincang halus
- 1 sendok teh minyak wijen
- 1/2 sendok teh garam
- 1/4 sendok teh merica bubuk
- 1 sendok teh kecap manis
- 1 batang daun bawang, iris tipis
- 1 batang seledri, iris tipis

Langkah-langkah:

1. Rebus mie telur sesuai petunjuk kemasan. Setelah matang, tiriskan dan sisihkan.

2. Panaskan minyak sayur dalam wajan. Tumis bawang putih hingga harum.

3. Masukkan potongan bakso sapi ke dalam wajan. Aduk rata dan masak hingga bakso matang.

4. Tambahkan sawi hijau ke dalam wajan. Aduk rata hingga sawi hijau layu.

5. Tuangkan air ke dalam wajan. Tambahkan minyak wijen, garam, merica bubuk, dan kecap manis. Aduk rata dan biarkan kuah mendidih.

6. Masukkan mie telur yang telah direbus ke dalam wajan. Aduk rata hingga mie terendam dalam kuah.

7. Tambahkan irisan daun bawang dan seledri ke dalam wajan. Aduk rata.

8. Masak mie bakso dalam kuah selama beberapa menit hingga matang dan bumbu meresap.

9. Mie Bakso siap disajikan. Nikmati panas-panas sebagai hidangan utama.

Selamat mencoba!
",Mie bakso
4,Mie celon,102,3,2,18,"11,000",https://nilaigizi.com/assets/images/produk/produk_1538367850.jpg,,Mie celon
5,Mie pangsit basah,105,6,5,9,"13,000",https://nilaigizi.com/assets/images/produk/produk_1538367881.jpg,"Bahan-bahan:

- 100 gram tepung terigu serbaguna
- 1/4 sendok teh garam
- 1/2 sendok teh minyak sayur
- 75 ml air hangat
- 50 gram daging babi cincang
- 50 gram udang, kupas kulitnya dan cincang halus
- 1 siung bawang putih, cincang halus
- 1/2 sendok teh kecap asin
- 1/2 sendok teh minyak wijen
- 1/4 sendok teh garam
- 1/8 sendok teh merica bubuk
- 1 batang daun bawang, iris tipis
- 1 lembar kulit pangsit
- Minyak goreng secukupnya

Langkah-langkah:

1. Siapkan mangkuk besar, tambahkan tepung terigu dan garam. Aduk rata.

2. Tuangkan minyak sayur dan air hangat sedikit-sedikit ke dalam mangkuk sambil diuleni hingga adonan terbentuk. Lanjutkan menguleni hingga adonan elastis dan kalis. Diamkan selama 30 menit.

3. Sementara itu, siapkan wajan dengan minyak goreng. Tumis bawang putih hingga harum.

4. Masukkan daging babi cincang dan udang cincang. Tumis hingga daging babi matang dan udang berubah warna.

5. Tambahkan kecap asin, minyak wijen, garam, merica bubuk, dan daun bawang iris. Aduk rata. Angkat dan sisihkan.

6. Ambil sedikit adonan mie pangsit, giling tipis menggunakan mesin penggiling atau dengan bantuan rolling pin hingga mencapai ketebalan yang diinginkan.

7. Potong adonan mie menjadi lembaran persegi panjang dengan ukuran sesuai selera.

8. Letakkan sejumput isian pangsit di salah satu ujung lembaran mie pangsit.

9. Lipat ujung mie yang mengandung isian pangsit ke dalam dan gulung hingga membentuk pangsit basah.

10. Ulangi proses ini hingga adonan mie pangsit dan isian habis.

11. Rebus air dalam panci. Setelah air mendidih, masukkan mie pangsit basah ke dalam air mendidih dan masak hingga mie mengapung dan matang.

12. Angkat mie pangsit basah dan tiriskan.

13. Mie Pangsit Basah siap disajikan. Sajikan dengan kuah kaldu dan tambahan irisan daun bawang atau bawang goreng jika diinginkan.

Selamat mencoba!
",Mie pangsit basah
6,Nasi gemuk,192,4,9,24,"18,000",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Nasi_Gmk.jpg/1200px-Nasi_Gmk.jpg,"Bahan-bahan:
- 1/2 gelas (100 gram) beras
- 1 gelas (250 ml) air
- 1 sendok makan minyak sayur
- 1 batang serai, memarkan
- 2 lembar daun pandan, ikat simpul
- 3 lembar daun salam
- 1/4 sendok teh garam
- 50 ml santan kental

Langkah-langkah:

1. Cuci beras hingga airnya bening. Tiriskan.

2. Panaskan minyak sayur dalam panci. Tumis serai, daun pandan, dan daun salam hingga harum.

3. Masukkan beras ke dalam panci dan aduk rata dengan bumbu tumisan. Tambahkan garam. Aduk kembali hingga beras tercampur dengan bumbu.

4. Tuangkan air ke dalam panci dan aduk rata. Tutup panci dengan rapat.

5. Masak nasi dengan api sedang hingga air mulai mendidih. Setelah itu, kecilkan api dan biarkan nasi matang selama 15-20 menit.

6. Setelah nasi matang, angkat daun pandan, daun salam, dan serai.

7. Aduk nasi perlahan dengan garpu atau sendok nasi untuk mengeluarkan uap yang tersisa.

8. Tuangkan santan kental ke atas nasi. Aduk perlahan hingga santan merata tercampur dengan nasi.

9. Tutup panci kembali dan biarkan nasi terkukus dengan sisa panas selama 10-15 menit.

10. Nasi Gemuk siap disajikan. Nikmati sebagai hidangan utama atau sebagai pendamping hidangan lainnya.

Pastikan untuk menyesuaikan proporsi bahan sesuai dengan porsi yang diinginkan. Selamat mencoba!
",Nasi gemuk
7,Nasi gurih,190,5,8,26,"10,000",https://www.frisianflag.com/storage/app/media/uploaded-files/nasi-uduk-betawi.jpg,"Bahan-bahan:
- 1/2 gelas (100 gram) beras
- 1 gelas (250 ml) air
- 1/2 sendok makan minyak sayur
- 1 batang serai, memarkan
- 2 lembar daun pandan, ikat simpul
- 1 lembar daun salam
- 1/4 sendok teh garam

Langkah-langkah:

1. Cuci beras hingga airnya bening. Tiriskan.

2. Panaskan minyak sayur dalam panci. Tumis serai, daun pandan, dan daun salam hingga harum.

3. Masukkan beras ke dalam panci dan aduk rata dengan bumbu tumisan. Tambahkan garam. Aduk kembali hingga beras tercampur dengan bumbu.

4. Tuangkan air ke dalam panci dan aduk rata. Tutup panci dengan rapat.

5. Masak nasi dengan api sedang hingga air mulai mendidih. Setelah itu, kecilkan api dan biarkan nasi matang selama 15-20 menit.

6. Setelah nasi matang, angkat daun pandan, daun salam, dan serai.

7. Aduk nasi perlahan dengan garpu atau sendok nasi untuk mengeluarkan uap yang tersisa.

8. Tutup panci kembali dan biarkan nasi terkukus dengan sisa panas selama 10-15 menit.

9. Nasi Gurih siap disajikan. Nikmati sebagai hidangan utama atau sebagai pendamping hidangan lainnya.

Pastikan untuk menyesuaikan proporsi bahan sesuai dengan porsi yang diinginkan. Selamat mencoba!
",Nasi gurih
8,Nasi minyak,207,4,5,37,"12,000",https://sweetrip.id/wp-content/uploads/2022/08/resep-nasi-minyak-aceh.jpeg,"Bahan-bahan:

- 1/2 cangkir beras
- 1 sendok makan minyak sayur
- 1/2 sendok teh minyak wijen
- 1/2 sendok teh kecap manis
- 1 batang serai, memarkan
- 1 lembar daun pandan
- 1/2 sendok teh garam
- 1/4 sendok teh merica bubuk
- 150 ml air

Langkah-langkah:

1. Cuci beras dengan air hingga air bening. Tiriskan.

2. Panaskan minyak sayur dan minyak wijen dalam panci dengan api sedang.

3. Tambahkan serai yang sudah dimemarkan dan daun pandan ke dalam panci. Tumis hingga harum.

4. Masukkan beras ke dalam panci. Aduk-aduk selama 1-2 menit hingga beras tercampur rata dengan minyak.

5. Tambahkan kecap manis, garam, dan merica bubuk. Aduk rata.

6. Tuangkan air ke dalam panci. Aduk-aduk sekali lagi untuk meratakan bumbu.

7. Tutup panci dengan rapat dan masak dengan api kecil selama 10 menit.

8. Setelah 10 menit, angkat tutup panci. Aduk-aduk nasi dengan garpu agar bumbu tercampur merata.

9. Tutup kembali panci dan masak dengan api kecil selama 10-15 menit atau hingga nasi matang dan air terserap.

10. Angkat panci dan biarkan nasi istirahat selama 5-10 menit sebelum disajikan.

11. Nasi Minyak siap disajikan sebagai pendamping hidangan utama.

Selamat mencoba!
",Nasi minyak
9,Nasi rames,155,10,4,19,"15,000",https://img-global.cpcdn.com/recipes/5e9571c2b6870b01/680x482cq70/isi-piringku-lunch-nasi-rames-nasi-campur-sederhana-foto-resep-utama.jpg,"Bahan-bahan:

- 1/2 cangkir beras
- 1 sendok makan minyak sayur
- 1/2 sendok teh garam
- 1/4 sendok teh merica bubuk
- 1 butir telur, dadar dan iris tipis
- 50 gram ayam, rebus dan suwir-suwir
- 50 gram daging sapi, iris tipis
- 50 gram tahu, potong dadu
- 50 gram tempe, potong dadu
- 50 gram sayuran (wortel, kacang panjang, atau sayuran lainnya), potong-potong
- 2 siung bawang putih, cincang halus
- 1 sendok makan kecap manis
- 1 sendok makan saus sambal (opsional)

Langkah-langkah:

1. Cuci beras dengan air hingga air bening. Tiriskan.

2. Panaskan minyak sayur dalam panci dengan api sedang.

3. Masukkan bawang putih cincang ke dalam panci. Tumis hingga harum.

4. Tambahkan beras ke dalam panci. Aduk-aduk selama 1-2 menit hingga beras tercampur rata dengan minyak.

5. Tambahkan garam dan merica bubuk. Aduk rata.

6. Tuangkan air ke dalam panci. Aduk-aduk sekali lagi untuk meratakan bumbu.

7. Tutup panci dengan rapat dan masak dengan api kecil selama 10 menit.

8. Sementara itu, siapkan bahan-bahan lainnya. Rebus ayam hingga matang, lalu suwir-suwir. Iris daging sapi tipis. Potong tahu dan tempe menjadi dadu. Potong sayuran sesuai selera.

9. Panaskan sedikit minyak sayur dalam wajan. Tumis bawang putih cincang hingga harum.

10. Tambahkan ayam suwir, daging sapi, tahu, tempe, dan sayuran ke dalam wajan. Tumis hingga matang.

11. Tambahkan kecap manis dan saus sambal (jika menggunakan). Aduk rata.

12. Setelah nasi matang, angkat tutup panci. Aduk-aduk nasi dengan garpu agar bumbu tercampur merata.

13. Sajikan nasi dalam piring saji. Atur irisan telur dadar dan tumisan ayam, daging sapi, tahu, tempe, dan sayuran di atas nasi.

14. Nasi Rames siap disajikan. Nikmati panas-panas sebagai hidangan utama.

Selamat mencoba!
",Nasi rames
10,"Ayam goreng church texas, dada",338,35,21,0,"25,000",https://alschick.com/wp-content/uploads/2017/01/AlsChick-Ala-Carte-Dada.png,"Bahan-bahan:

- 1 potong dada ayam, dengan tulang dan kulit
- 1 sendok teh garam
- 1/2 sendok teh merica bubuk
- 1/2 sendok teh bubuk paprika
- 1/4 sendok teh bubuk bawang putih
- 1/4 sendok teh bubuk bawang bombay
- 1/4 sendok teh bubuk oregano
- 1/4 sendok teh bubuk thyme
- 1/4 sendok teh bubuk cayenne pepper (opsional)
- 1/2 cangkir tepung serbaguna
- Minyak sayur, secukupnya untuk menggoreng

Langkah-langkah:

1. Bersihkan dan cuci bersih potong dada ayam. Biarkan tulang dan kulit tetap ada.

2. Campurkan garam, merica bubuk, bubuk paprika, bubuk bawang putih, bubuk bawang bombay, bubuk oregano, bubuk thyme, dan bubuk cayenne pepper (jika menggunakan) dalam sebuah mangkuk kecil. Aduk rata menjadi bumbu ayam.

3. Gulingkan potongan dada ayam dalam bumbu ayam, pastikan semua sisi terbalut bumbu dengan merata.

4. Diamkan dada ayam selama sekitar 15-20 menit agar bumbu meresap.

5. Panaskan minyak sayur dalam wajan dengan api sedang.

6. Sementara itu, gulingkan potongan dada ayam dalam tepung serbaguna, pastikan semua sisi terbalut tepung dengan merata.

7. Ketika minyak sudah cukup panas, masukkan potongan dada ayam ke dalam wajan. Goreng dengan api sedang hingga dada ayam matang dan berwarna kecokelatan di luar, serta matang sempurna di dalam. Pastikan dada ayam matang hingga suhu dalam mencapai 75 derajat Celsius.

8. Angkat ayam goreng dari wajan dan tiriskan di atas kertas minyak atau tisu dapur untuk menghilangkan kelebihan minyak.

9. Ayam Goreng Church Texas (Dada) siap disajikan. Nikmati sebagai hidangan utama bersama saus dan pelengkap lainnya.

Selamat mencoba!
","Ayam goreng church texas, dada"
